"Age","ln.h1","ln.h2","h1","h2","PlotCode","sup","UID","Census","maxDBH"
6,NA,-0.867500567704723,NA,0.42,"11","1","SS11-449595",2006,0.276
7,-0.867500567704723,-0.22314355131421,0.42,0.8,"11","1","SS11-449595",2007,0.35
8,-0.22314355131421,-0.22314355131421,0.8,0.8,"11","1","SS11-449595",2008,0.7
9,-0.22314355131421,0.392042087776024,0.8,1.48,"11","1","SS11-449595",2009,0.9
10,0.392042087776024,0.506817602368452,1.48,1.66,"11","1","SS11-449595",2010,1
9,NA,0.524728528934982,NA,1.69,"12","1","SS12-423434",2003,0.91
10,0.524728528934982,0.727548607277278,1.69,2.07,"12","1","SS12-423434",2004,1.07
11,0.727548607277278,0.78845736036427,2.07,2.2,"12","1","SS12-423434",2005,1.3
12,0.78845736036427,0.78845736036427,2.2,2.2,"12","1","SS12-423434",2006,1.154
13,0.78845736036427,0.904218150639886,2.2,2.47,"12","1","SS12-423434",2007,1.23
14,0.904218150639886,NA,2.47,NA,"12","0","SS12-423434",2008,NA
16,NA,1.54756250871601,NA,4.7,"12","1","SS12-424011",2010,4.22
17,1.54756250871601,1.64865862558738,4.7,5.2,"12","1","SS12-424011",2011,4.2
18,1.64865862558738,1.50407739677627,5.2,4.5,"12","1","SS12-424011",2012,3.917
19,1.50407739677627,NA,4.5,NA,"12","0","SS12-424011",2013,NA
16,NA,0.78845736036427,NA,2.2,"13","1","SS13-424233",2003,1.1
17,0.78845736036427,0.693147180559945,2.2,2,"13","1","SS13-424233",2004,1.02
18,0.693147180559945,NA,2,NA,"13","0","SS13-424233",2005,NA
16,NA,-0.174353387144778,NA,0.84,"13","1","SS13-424424",2003,0.63
17,-0.174353387144778,0.0295588022415444,0.84,1.03,"13","1","SS13-424424",2004,0.62
18,0.0295588022415444,NA,1.03,NA,"13","0","SS13-424424",2005,NA
16,NA,0.815364813284194,NA,2.26,"13","1","SS13-424455",2003,1.14
17,0.815364813284194,0.832909122935104,2.26,2.3,"13","1","SS13-424455",2004,1.13
18,0.832909122935104,NA,2.3,NA,"13","0","SS13-424455",2005,NA
18,NA,-1.20397280432594,NA,0.3,"13","1","SS13-425063",2005,0.17
19,-1.20397280432594,-1.07880966137193,0.3,0.34,"13","1","SS13-425063",2006,0.126
20,-1.07880966137193,NA,0.34,NA,"13","0","SS13-425063",2007,NA
16,NA,0.405465108108164,NA,1.5,"13","1","SS13-425407",2003,0.73
