UID, Año,Plot,Einicial,Ecenso,Trans,Cuadro,Sample,Categoría,Etiqueta,Especie,X,Y,Supv,Altura,DB1,DB2,DB3,DB4,DB5,DB6,DB7,DB8,DB9,DB10,DB11,DB12,DB13,DB14,DB15,DB16,DB17,DB18,DB19,DB20,DB21,DB22,DB23,DB24,DB min,DB max,AB soto (m2/1ha),AB soto (cm2/1ha),AB soto (cm2),Sample (m2),Densidad soto sitio (32m2),Regen,LF,Observaciones
SS04-437103,2016,4,10,22,1,2,32,<1,7,Mimosa eurycarpa,4.26,13.87,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,
SS04-437288,2010,4,10,16,2,3,32,<1,U4,Mimosa eurycarpa,5,20,1,0.43,0.19,,,,,,,,,,,,,,,,,,,,,,,,0.19,0.19,0.000886027303083,8.86027303082746,0.028352873698648,32,,,,etiquetar
SS04-437288,2011,4,10,18,2,3,32,<1,U4,Mimosa eurycarpa,5,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,etiquetar
SS04-437288,2012,4,10,19,2,3,32,<1,U4,Mimosa eurycarpa,5,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,
SS04-437288,2013,4,10,20,2,3,32,<1,U4,Mimosa eurycarpa,5,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,
SS04-437288,2014,4,10,21,2,3,32,<1,U4,Mimosa eurycarpa,5,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,
SS04-437288,2015,4,10,22,2,3,32,<1,U4,Mimosa eurycarpa,5,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,
SS04-437288,2016,4,10,22,2,3,32,<1,U4,Mimosa eurycarpa,5,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,
SS06-441254,2004,6,18,19,2,3,32,<1,411,Mimosa eurycarpa,1.58,3.5,1,0.6,0.21,,,,,,,,,,,,,,,,,,,,,,,,0.21,0.21,0.001082376843932,10.8237684393211,0.034636059005828,32,,S,S,
SS06-441254,2005,6,18,20,2,3,32,<1,411,Mimosa eurycarpa,1.58,3.5,1,0.61,0.35,,,,,,,,,,,,,,,,,,,,,,,,0.35,0.35,0.003006602344256,30.0660234425586,0.096211275016187,32,,S,S,
SS06-441254,2006,6,18,21,2,3,32,<1,411,Mimosa eurycarpa,1.58,3.5,1,0.6,0.347,,,,,,,,,,,,,,,,,,,,,,,,0.347,0.347,0.002955281483016,29.5528148301635,0.094569007456523,32,,S,S,
SS06-441254,2007,6,18,22,2,3,32,<1,411,Mimosa eurycarpa,1.58,3.5,1,0.82,0.52,,,,,,,,,,,,,,,,,,,,,,,,0.52,0.52,0.006636614480708,66.3661448070844,0.21237166338267,32,,S,S,
SS06-441254,2008,6,18,23,2,3,32,<1,411,Mimosa eurycarpa,1.58,3.5,1,0.82,0.52,,,,,,,,,,,,,,,,,,,,,,,,0.52,0.52,0.006636614480708,66.3661448070844,0.21237166338267,32,,,,
SS06-441254,2009,6,18,24,2,3,32,<1,411,Mimosa eurycarpa,1.58,3.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,
SS06-441254,2010,6,18,25,2,3,32,<1,411,Mimosa eurycarpa,1.58,3.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,
SS06-441254,2011,6,18,26,2,3,32,<1,411,Mimosa eurycarpa,1.58,3.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,
SS06-441254,2012,6,18,27,2,3,32,<1,411,Mimosa eurycarpa,1.58,3.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,
SS06-441254,2013,6,18,28,2,3,32,<1,411,Mimosa eurycarpa,1.58,3.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,
SS06-441254,2014,6,18,29,2,3,32,<1,411,Mimosa eurycarpa,1.58,3.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,
